;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months
168;75 years or over;Latvia;Females;Cities;0.0;7.4;1.6;28.1;62.9
169;75 years or over;Latvia;Females;Rural areas;0.0;4.5;1.1;31.3;63.1
170;75 years or over;Latvia;Females;Towns and suburbs;0.7;5.9;0.8;21.1;71.4
174;75 years or over;Latvia;Males;Cities;1.8;23.0;10.3;36.2;28.6
175;75 years or over;Latvia;Males;Rural areas;3.5;12.3;7.7;28.1;48.4
176;75 years or over;Latvia;Males;Towns and suburbs;0.0;15.4;1.7;43.6;39.3
180;75 years or over;Lithuania;Females;Cities;0.0;6.0;0.6;27.4;66.0
181;75 years or over;Lithuania;Females;Rural areas;0.0;4.2;0.0;24.7;71.1
182;75 years or over;Lithuania;Females;Towns and suburbs;0.0;3.7;0.0;22.3;74.0
186;75 years or over;Lithuania;Males;Cities;2.5;29.5;8.8;19.4;39.9
187;75 years or over;Lithuania;Males;Rural areas;1.6;22.1;11.0;26.5;38.8
188;75 years or over;Lithuania;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0
192;75 years or over;Luxembourg;Females;Cities;0.0;0.0;0.0;0.0;0.0
193;75 years or over;Luxembourg;Females;Rural areas;6.5;20.1;25.1;14.1;34.2
194;75 years or over;Luxembourg;Females;Towns and suburbs;2.3;24.0;20.0;4.7;49.0
198;75 years or over;Luxembourg;Males;Cities;41.9;3.2;32.3;0.0;22.6
199;75 years or over;Luxembourg;Males;Rural areas;40.5;7.8;31.7;0.0;20.1
200;75 years or over;Luxembourg;Males;Towns and suburbs;28.4;17.5;35.8;7.4;10.9
204;75 years or over;Malta;Females;Cities;1.5;15.6;3.0;24.2;55.7
205;75 years or over;Malta;Females;Rural areas;0.0;0.0;0.0;0.0;0.0
206;75 years or over;Malta;Females;Towns and suburbs;3.6;9.8;10.5;9.0;67.2
210;75 years or over;Malta;Males;Cities;18.3;29.4;7.8;21.3;23.1
211;75 years or over;Malta;Males;Rural areas;0.0;0.0;0.0;0.0;0.0
212;75 years or over;Malta;Males;Towns and suburbs;25.5;16.6;15.0;7.5;35.4
222;75 years or over;Norway;Females;Cities;12.3;22.9;17.5;0.0;47.4
223;75 years or over;Norway;Females;Rural areas;0.0;33.4;12.7;0.0;53.9
224;75 years or over;Norway;Females;Towns and suburbs;2.0;36.7;23.4;0.0;38.0
228;75 years or over;Norway;Males;Cities;6.5;32.3;23.8;0.0;37.4
229;75 years or over;Norway;Males;Rural areas;3.4;29.2;26.6;0.0;40.8
230;75 years or over;Norway;Males;Towns and suburbs;8.9;27.7;34.1;0.0;29.4
234;75 years or over;Poland;Females;Cities;0.6;10.4;3.7;24.4;60.9
235;75 years or over;Poland;Females;Rural areas;0.4;3.7;1.1;13.1;81.6
236;75 years or over;Poland;Females;Towns and suburbs;0.0;5.7;2.1;16.3;76.0
240;75 years or over;Poland;Males;Cities;1.7;19.6;15.4;27.7;35.7
241;75 years or over;Poland;Males;Rural areas;0.9;19.5;7.7;24.1;47.8
242;75 years or over;Poland;Males;Towns and suburbs;1.6;17.1;8.7;27.6;45.1
246;75 years or over;Portugal;Females;Cities;21.5;5.7;6.4;11.4;55.0
247;75 years or over;Portugal;Females;Rural areas;18.2;3.0;6.7;4.2;67.9
248;75 years or over;Portugal;Females;Towns and suburbs;16.5;6.0;5.5;10.1;61.9
252;75 years or over;Portugal;Males;Cities;61.5;2.9;14.0;4.8;16.8
253;75 years or over;Portugal;Males;Rural areas;53.0;5.1;5.9;5.1;31.0
254;75 years or over;Portugal;Males;Towns and suburbs;54.4;3.5;8.6;5.7;27.9
258;75 years or over;Romania;Females;Cities;0.0;10.2;0.6;11.3;78.0
259;75 years or over;Romania;Females;Rural areas;1.7;10.4;3.3;8.0;76.6
260;75 years or over;Romania;Females;Towns and suburbs;0.3;9.8;4.7;8.1;77.1
264;75 years or over;Romania;Males;Cities;6.8;27.1;5.9;11.6;48.6
265;75 years or over;Romania;Males;Rural areas;5.7;24.8;14.3;8.2;46.9
266;75 years or over;Romania;Males;Towns and suburbs;6.1;28.8;16.2;5.8;43.1
276;75 years or over;Slovakia;Females;Cities;0.9;16.5;3.6;22.8;56.2
277;75 years or over;Slovakia;Females;Rural areas;0.0;7.9;0.7;11.9;79.6
278;75 years or over;Slovakia;Females;Towns and suburbs;2.2;8.1;2.0;17.9;69.8
282;75 years or over;Slovakia;Males;Cities;11.5;23.5;15.5;17.8;31.6
283;75 years or over;Slovakia;Males;Rural areas;7.3;15.4;14.3;23.7;39.3
284;75 years or over;Slovakia;Males;Towns and suburbs;5.7;23.6;12.2;23.6;35.0
288;75 years or over;Slovenia;Females;Cities;6.3;25.8;11.3;29.1;27.5
289;75 years or over;Slovenia;Females;Rural areas;9.3;13.4;16.8;15.7;44.8
290;75 years or over;Slovenia;Females;Towns and suburbs;9.9;19.1;9.0;16.2;45.8
294;75 years or over;Slovenia;Males;Cities;24.6;4.9;29.5;18.5;22.5
295;75 years or over;Slovenia;Males;Rural areas;25.0;15.1;26.3;10.2;23.4
296;75 years or over;Slovenia;Males;Towns and suburbs;21.5;9.2;43.1;10.5;15.6
300;75 years or over;Spain;Females;Cities;12.5;9.2;4.7;11.9;61.7
301;75 years or over;Spain;Females;Rural areas;12.7;6.1;1.7;7.1;72.4
302;75 years or over;Spain;Females;Towns and suburbs;11.2;4.9;6.6;11.6;65.7
306;75 years or over;Spain;Males;Cities;38.6;9.5;10.8;7.3;33.8
307;75 years or over;Spain;Males;Rural areas;42.9;7.1;6.9;7.3;35.9
308;75 years or over;Spain;Males;Towns and suburbs;39.0;9.6;11.9;4.3;35.2
312;75 years or over;Sweden;Females;Cities;1.7;21.1;21.9;16.4;39.0
313;75 years or over;Sweden;Females;Rural areas;2.7;24.5;24.1;15.2;33.4
314;75 years or over;Sweden;Females;Towns and suburbs;5.3;19.7;25.7;13.4;36.0
318;75 years or over;Sweden;Males;Cities;5.9;20.8;29.2;9.3;34.8
319;75 years or over;Sweden;Males;Rural areas;16.9;20.3;33.9;9.4;19.4
320;75 years or over;Sweden;Males;Towns and suburbs;13.2;17.8;34.6;15.5;18.9
324;75 years or over;Türkiye;Females;Cities;0.0;0.0;0.0;0.0;0.0
325;75 years or over;Türkiye;Females;Rural areas;0.0;0.0;0.0;0.0;0.0
326;75 years or over;Türkiye;Females;Towns and suburbs;0.0;0.0;0.0;0.0;0.0
330;75 years or over;Türkiye;Males;Cities;0.0;0.0;0.0;0.0;0.0
331;75 years or over;Türkiye;Males;Rural areas;0.0;0.0;0.0;0.0;0.0
332;75 years or over;Türkiye;Males;Towns and suburbs;0.0;0.0;0.0;0.0;0.0
336;75 years or over;United Kingdom;Females;Cities;11.2;12.0;22.1;18.5;36.3
337;75 years or over;United Kingdom;Females;Rural areas;18.0;10.3;24.5;16.5;30.7
338;75 years or over;United Kingdom;Females;Towns and suburbs;12.5;10.0;27.3;21.5;28.7
339;75 years or over;United Kingdom;Males;Cities;20.3;11.2;36.7;13.3;18.5
340;75 years or over;United Kingdom;Males;Rural areas;23.6;9.0;37.1;13.3;17.0
341;75 years or over;United Kingdom;Males;Towns and suburbs;24.0;8.8;38.0;10.1;19.1
342;From 15 to 24 years;Austria;Females;Cities;0.0;33.1;21.4;19.1;26.4
343;From 15 to 24 years;Austria;Females;Rural areas;0.0;55.4;21.7;14.8;8.1
344;From 15 to 24 years;Austria;Females;Towns and suburbs;0.0;44.1;19.8;16.9;19.2
348;From 15 to 24 years;Austria;Males;Cities;0.5;43.5;30.3;7.0;18.8
349;From 15 to 24 years;Austria;Males;Rural areas;1.9;37.3;41.6;8.2;11.0
350;From 15 to 24 years;Austria;Males;Towns and suburbs;0.6;38.6;36.7;7.7;16.3
354;From 15 to 24 years;Belgium;Females;Cities;0.5;15.7;29.0;14.7;40.1
355;From 15 to 24 years;Belgium;Females;Rural areas;0.0;44.4;30.9;9.1;15.6
356;From 15 to 24 years;Belgium;Females;Towns and suburbs;0.0;33.7;39.4;12.7;14.3
360;From 15 to 24 years;Belgium;Males;Cities;1.0;19.3;42.4;7.0;30.2
361;From 15 to 24 years;Belgium;Males;Rural areas;3.9;20.3;50.0;8.5;17.4
362;From 15 to 24 years;Belgium;Males;Towns and suburbs;1.0;29.9;43.9;8.5;16.7
366;From 15 to 24 years;Bulgaria;Females;Cities;0.8;19.7;9.7;20.3;49.6
367;From 15 to 24 years;Bulgaria;Females;Rural areas;0.6;16.3;3.1;13.5;66.6
368;From 15 to 24 years;Bulgaria;Females;Towns and suburbs;0.0;11.3;3.7;21.8;63.1
372;From 15 to 24 years;Bulgaria;Males;Cities;5.5;30.3;10.8;12.2;41.2
373;From 15 to 24 years;Bulgaria;Males;Rural areas;5.1;20.4;28.0;3.2;43.3
374;From 15 to 24 years;Bulgaria;Males;Towns and suburbs;0.0;21.2;16.5;11.8;50.5
378;From 15 to 24 years;Croatia;Females;Cities;0.0;31.5;5.3;29.9;33.3
379;From 15 to 24 years;Croatia;Females;Rural areas;0.0;25.7;2.8;20.2;51.3
380;From 15 to 24 years;Croatia;Females;Towns and suburbs;1.4;13.7;6.1;14.4;64.4
384;From 15 to 24 years;Croatia;Males;Cities;0.0;47.6;4.8;16.1;31.4
385;From 15 to 24 years;Croatia;Males;Rural areas;2.0;34.0;10.6;12.7;40.7
386;From 15 to 24 years;Croatia;Males;Towns and suburbs;4.6;28.5;16.6;13.8;36.5
390;From 15 to 24 years;Cyprus;Females;Cities;0.0;18.0;9.8;9.9;62.2
391;From 15 to 24 years;Cyprus;Females;Rural areas;0.6;19.6;2.9;3.3;73.7
392;From 15 to 24 years;Cyprus;Females;Towns and suburbs;0.0;16.6;10.8;6.1;66.5
396;From 15 to 24 years;Cyprus;Males;Cities;0.0;27.9;18.9;12.1;41.0
397;From 15 to 24 years;Cyprus;Males;Rural areas;2.1;30.1;16.7;15.3;35.8
398;From 15 to 24 years;Cyprus;Males;Towns and suburbs;1.1;27.5;11.9;17.4;42.1
402;From 15 to 24 years;Czechia;Females;Cities;0.0;36.5;22.9;26.4;14.2
403;From 15 to 24 years;Czechia;Females;Rural areas;0.0;44.4;21.5;12.9;21.2
404;From 15 to 24 years;Czechia;Females;Towns and suburbs;0.0;40.8;20.5;18.5;20.1
408;From 15 to 24 years;Czechia;Males;Cities;3.4;17.8;45.4;9.7;23.7
409;From 15 to 24 years;Czechia;Males;Rural areas;1.5;30.8;42.8;13.1;11.9
410;From 15 to 24 years;Czechia;Males;Towns and suburbs;5.1;24.2;45.5;9.1;16.1
414;From 15 to 24 years;Denmark;Females;Cities;0.0;46.9;28.3;17.2;7.6
415;From 15 to 24 years;Denmark;Females;Rural areas;0.0;50.0;12.5;26.5;11.0
416;From 15 to 24 years;Denmark;Females;Towns and suburbs;0.0;40.6;31.3;25.0;3.1
420;From 15 to 24 years;Denmark;Males;Cities;2.2;39.1;37.0;10.9;10.9
421;From 15 to 24 years;Denmark;Males;Rural areas;1.0;39.4;24.0;19.2;16.3
422;From 15 to 24 years;Denmark;Males;Towns and suburbs;2.0;38.8;26.5;8.2;24.5
426;From 15 to 24 years;Estonia;Females;Cities;0.0;21.5;16.6;38.2;23.7
427;From 15 to 24 years;Estonia;Females;Rural areas;0.0;30.8;6.0;35.5;27.7
428;From 15 to 24 years;Estonia;Females;Towns and suburbs;0.0;25.8;5.4;37.6;31.2
432;From 15 to 24 years;Estonia;Males;Cities;0.0;24.0;27.2;27.1;21.8
433;From 15 to 24 years;Estonia;Males;Rural areas;0.6;31.4;22.9;18.1;26.9
434;From 15 to 24 years;Estonia;Males;Towns and suburbs;0.0;19.0;17.6;40.8;22.6
438;From 15 to 24 years;Finland;Females;Cities;0.0;38.7;24.9;16.9;19.5
439;From 15 to 24 years;Finland;Females;Rural areas;0.0;34.7;15.6;26.5;23.3
440;From 15 to 24 years;Finland;Females;Towns and suburbs;0.0;44.8;12.8;18.3;24.1
441;From 15 to 24 years;Finland;Males;Cities;0.0;42.0;29.6;7.7;20.7
442;From 15 to 24 years;Finland;Males;Rural areas;0.0;41.0;17.9;17.5;23.7
443;From 15 to 24 years;Finland;Males;Towns and suburbs;0.0;36.4;31.1;14.2;18.3
450;From 15 to 24 years;Germany;Females;Cities;0.3;33.2;30.7;18.9;16.9
451;From 15 to 24 years;Germany;Females;Rural areas;0.7;45.3;23.0;18.9;12.0
452;From 15 to 24 years;Germany;Females;Towns and suburbs;0.3;37.8;24.2;18.5;19.2
456;From 15 to 24 years;Germany;Males;Cities;1.7;29.0;34.9;12.4;22.0
457;From 15 to 24 years;Germany;Males;Rural areas;1.6;34.9;41.5;12.1;9.9
458;From 15 to 24 years;Germany;Males;Towns and suburbs;1.3;30.0;40.7;13.6;14.4
462;From 15 to 24 years;Greece;Females;Cities;0.3;35.9;34.8;12.0;17.0
463;From 15 to 24 years;Greece;Females;Rural areas;0.0;23.4;11.6;11.5;53.4
464;From 15 to 24 years;Greece;Females;Towns and suburbs;0.0;29.7;21.1;14.1;35.1
468;From 15 to 24 years;Greece;Males;Cities;0.3;31.4;34.4;11.4;22.6
469;From 15 to 24 years;Greece;Males;Rural areas;0.0;39.1;33.9;2.6;24.4
470;From 15 to 24 years;Greece;Males;Towns and suburbs;2.6;27.0;26.8;21.8;21.8
474;From 15 to 24 years;Hungary;Females;Cities;0.0;37.5;12.3;21.4;28.7
475;From 15 to 24 years;Hungary;Females;Rural areas;0.0;20.5;6.1;29.9;43.5
476;From 15 to 24 years;Hungary;Females;Towns and suburbs;0.0;22.7;1.7;35.5;40.0
480;From 15 to 24 years;Hungary;Males;Cities;0.0;33.6;29.4;17.0;20.0
481;From 15 to 24 years;Hungary;Males;Rural areas;0.7;38.7;15.6;22.3;22.6
482;From 15 to 24 years;Hungary;Males;Towns and suburbs;0.5;27.9;22.6;28.3;20.7
486;From 15 to 24 years;Iceland;Females;Cities;0.5;39.8;8.2;22.3;29.3
487;From 15 to 24 years;Iceland;Females;Rural areas;0.0;25.8;11.6;24.9;37.7
488;From 15 to 24 years;Iceland;Females;Towns and suburbs;0.0;42.7;2.8;22.6;31.9
492;From 15 to 24 years;Iceland;Males;Cities;0.0;35.2;9.8;18.8;36.2
493;From 15 to 24 years;Iceland;Males;Rural areas;0.0;28.3;16.6;14.9;40.2
494;From 15 to 24 years;Iceland;Males;Towns and suburbs;0.0;36.7;8.0;14.4;40.9
498;From 15 to 24 years;Ireland;Females;Cities;0.0;37.8;41.4;9.5;11.4
499;From 15 to 24 years;Ireland;Females;Rural areas;0.0;42.4;22.3;9.3;26.0
500;From 15 to 24 years;Ireland;Females;Towns and suburbs;0.0;30.6;25.3;11.4;32.8
504;From 15 to 24 years;Ireland;Males;Cities;0.0;21.8;48.7;18.7;10.9
505;From 15 to 24 years;Ireland;Males;Rural areas;0.0;39.0;25.5;4.0;31.6
506;From 15 to 24 years;Ireland;Males;Towns and suburbs;0.0;30.9;28.0;7.9;33.2
510;From 15 to 24 years;Latvia;Females;Cities;1.2;36.0;8.1;21.7;33.0
511;From 15 to 24 years;Latvia;Females;Rural areas;0.0;35.4;5.7;27.8;31.1
512;From 15 to 24 years;Latvia;Females;Towns and suburbs;0.0;25.8;11.1;35.4;27.7
516;From 15 to 24 years;Latvia;Males;Cities;0.0;29.2;21.9;23.2;25.7
517;From 15 to 24 years;Latvia;Males;Rural areas;0.0;40.4;7.2;28.8;23.6
518;From 15 to 24 years;Latvia;Males;Towns and suburbs;0.9;32.2;7.1;37.4;22.4
522;From 15 to 24 years;Lithuania;Females;Cities;0.0;26.8;8.1;17.9;47.2
523;From 15 to 24 years;Lithuania;Females;Rural areas;0.0;29.9;3.7;23.8;42.6
524;From 15 to 24 years;Lithuania;Females;Towns and suburbs;0.0;63.5;3.7;14.0;18.7
528;From 15 to 24 years;Lithuania;Males;Cities;0.0;33.6;12.8;20.8;32.8
529;From 15 to 24 years;Lithuania;Males;Rural areas;0.0;33.9;12.3;19.1;34.7
530;From 15 to 24 years;Lithuania;Males;Towns and suburbs;0.0;40.6;0.0;18.3;41.1
534;From 15 to 24 years;Luxembourg;Females;Cities;0.0;25.8;25.8;9.7;38.7
535;From 15 to 24 years;Luxembourg;Females;Rural areas;0.0;40.2;15.9;18.7;25.2
536;From 15 to 24 years;Luxembourg;Females;Towns and suburbs;0.0;28.2;20.2;24.3;27.4
540;From 15 to 24 years;Luxembourg;Males;Cities;0.0;20.0;50.0;10.0;20.0
541;From 15 to 24 years;Luxembourg;Males;Rural areas;2.9;31.2;33.8;15.3;16.8
542;From 15 to 24 years;Luxembourg;Males;Towns and suburbs;0.0;44.8;26.9;7.6;20.8
546;From 15 to 24 years;Malta;Females;Cities;0.0;37.9;27.1;12.5;22.6
547;From 15 to 24 years;Malta;Females;Rural areas;0.0;38.5;26.9;3.8;30.8
548;From 15 to 24 years;Malta;Females;Towns and suburbs;0.0;30.7;42.1;11.9;15.3
552;From 15 to 24 years;Malta;Males;Cities;1.1;29.9;48.1;12.3;8.6
553;From 15 to 24 years;Malta;Males;Rural areas;0.0;0.0;0.0;0.0;0.0
554;From 15 to 24 years;Malta;Males;Towns and suburbs;2.1;22.2;53.1;5.3;17.3
564;From 15 to 24 years;Norway;Females;Cities;0.6;59.9;14.0;0.0;25.5
565;From 15 to 24 years;Norway;Females;Rural areas;0.0;69.8;6.4;0.0;23.8
566;From 15 to 24 years;Norway;Females;Towns and suburbs;0.0;63.0;10.7;0.0;26.4
570;From 15 to 24 years;Norway;Males;Cities;0.0;45.1;30.2;0.0;24.7
571;From 15 to 24 years;Norway;Males;Rural areas;0.0;62.4;10.8;0.0;26.8
572;From 15 to 24 years;Norway;Males;Towns and suburbs;0.0;58.9;15.0;0.0;26.1
576;From 15 to 24 years;Poland;Females;Cities;0.0;29.6;18.1;20.7;31.6
577;From 15 to 24 years;Poland;Females;Rural areas;0.0;17.3;1.9;24.1;56.7
578;From 15 to 24 years;Poland;Females;Towns and suburbs;0.0;20.0;6.2;21.1;52.7
582;From 15 to 24 years;Poland;Males;Cities;2.0;34.1;24.1;13.6;26.2
583;From 15 to 24 years;Poland;Males;Rural areas;0.1;31.7;13.3;16.7;38.3
584;From 15 to 24 years;Poland;Males;Towns and suburbs;1.2;35.0;14.0;17.5;32.3
588;From 15 to 24 years;Portugal;Females;Cities;0.0;29.6;12.1;25.2;33.1
589;From 15 to 24 years;Portugal;Females;Rural areas;0.0;24.1;6.6;24.8;44.5
590;From 15 to 24 years;Portugal;Females;Towns and suburbs;0.0;26.9;12.1;19.3;41.7
594;From 15 to 24 years;Portugal;Males;Cities;0.1;30.0;21.0;18.5;30.3
595;From 15 to 24 years;Portugal;Males;Rural areas;1.9;19.6;34.3;15.4;28.8
596;From 15 to 24 years;Portugal;Males;Towns and suburbs;2.0;28.0;31.9;16.5;21.5
600;From 15 to 24 years;Romania;Females;Cities;0.0;15.2;1.3;15.9;67.6
601;From 15 to 24 years;Romania;Females;Rural areas;0.0;14.5;1.2;10.1;74.2
602;From 15 to 24 years;Romania;Females;Towns and suburbs;0.0;12.1;1.7;11.3;74.9
606;From 15 to 24 years;Romania;Males;Cities;0.2;26.6;7.3;10.8;55.2
607;From 15 to 24 years;Romania;Males;Rural areas;1.1;24.3;10.8;9.1;54.6
608;From 15 to 24 years;Romania;Males;Towns and suburbs;0.0;21.5;10.3;12.1;56.1
618;From 15 to 24 years;Slovakia;Females;Cities;0.8;28.3;6.7;20.7;43.6
619;From 15 to 24 years;Slovakia;Females;Rural areas;0.0;23.9;3.5;28.4;44.3
620;From 15 to 24 years;Slovakia;Females;Towns and suburbs;0.0;32.0;7.9;19.0;41.2
624;From 15 to 24 years;Slovakia;Males;Cities;0.0;34.5;15.6;21.4;28.5
625;From 15 to 24 years;Slovakia;Males;Rural areas;0.0;38.7;20.7;14.8;25.7
626;From 15 to 24 years;Slovakia;Males;Towns and suburbs;0.0;34.8;19.2;12.3;33.7
630;From 15 to 24 years;Slovenia;Females;Cities;0.0;28.7;15.0;23.7;32.6
631;From 15 to 24 years;Slovenia;Females;Rural areas;0.8;38.0;15.9;19.1;26.2
632;From 15 to 24 years;Slovenia;Females;Towns and suburbs;0.0;40.8;12.2;28.9;18.1
636;From 15 to 24 years;Slovenia;Males;Cities;1.7;43.6;18.2;16.4;20.1
637;From 15 to 24 years;Slovenia;Males;Rural areas;1.7;33.4;31.6;12.5;20.8
638;From 15 to 24 years;Slovenia;Males;Towns and suburbs;3.0;39.6;28.4;13.8;15.1
642;From 15 to 24 years;Spain;Females;Cities;0.0;30.5;13.7;18.4;37.4
643;From 15 to 24 years;Spain;Females;Rural areas;0.0;25.8;18.9;14.5;40.7
